At 13:31, CalWatch crashed, but it looks like lots of other stuff was being killed off / failing at the same time. Hmm.

    --------- beginning of /dev/log/system
12-25 11:07:54.527     816-2231/? I/ActivityManager﹕ Start proc com.android.chrome:sandboxed_process3 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService3: pid=21036 uid=99143 gids={}
12-25 11:07:54.647     816-1038/? I/ActivityManager﹕ Process com.android.chrome:sandboxed_process3 (pid 21036) has died.
12-25 11:07:54.647     816-1038/? W/ActivityManager﹕ Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService3 in 11400ms
12-25 11:07:55.447      816-879/? D/ConnectivityService﹕ handleInetConditionHoldEnd: net=1, condition=100, published condition=100
12-25 11:07:56.147      816-842/? I/ActivityManager﹕ Start proc com.google.android.tts for service com.google.android.tts/.service.GoogleTTSService: pid=21123 uid=10049 gids={50049, 3003, 1028, 1015}
12-25 11:08:00.167     816-7675/? I/ActivityManager﹕ Process com.android.providers.partnerbookmarks (pid 20929) has died.
12-25 11:08:00.207     816-1528/? I/ActivityManager﹕ Process com.google.android.partnersetup (pid 20963) has died.
12-25 11:08:00.237     816-1569/? I/ActivityManager﹕ Process com.google.android.tts (pid 21123) has died.
12-25 11:08:00.237     816-1569/? W/ActivityManager﹕ Scheduling restart of crashed service com.google.android.tts/.service.GoogleTTSService in 16000ms
12-25 11:08:01.997     816-1038/? I/ActivityManager﹕ START u0 {act=com.android.systemui.recent.action.TOGGLE_RECENTS flg=0x10800000 cmp=com.android.systemui/.recent.RecentsActivity (has extras)} from pid 944
12-25 11:08:02.497     816-1555/? I/ActivityManager﹕ Process com.facebook.katana (pid 1313) has died.
12-25 11:08:02.497     816-1555/? W/ActivityManager﹕ Scheduling restart of crashed service com.facebook.katana/com.facebook.push.mqtt.service.MqttPushService in 1000ms
12-25 11:08:02.497     816-1555/? W/ActivityManager﹕ Scheduling restart of crashed service com.facebook.katana/com.facebook.analytics.service.AnalyticsService in 23739ms
12-25 11:08:02.507     816-1528/? I/WindowState﹕ WIN DEATH: Window{43b1fa40 u0 com.facebook.katana/com.facebook.katana.activity.FbMainTabActivity}
12-25 11:08:02.517     816-1038/? I/WindowState﹕ WIN DEATH: Window{43bbe2f8 u0 com.facebook.katana/com.facebook.katana.activity.FbMainTabActivity}
12-25 11:08:03.587      816-842/? I/ActivityManager﹕ Start proc com.facebook.katana for service com.facebook.katana/com.facebook.push.mqtt.service.MqttPushService: pid=21228 uid=10110 gids={50110, 1028, 1015, 3003}
12-25 11:08:05.237     816-1164/? I/ActivityManager﹕ START u0 {cmp=com.facebook.katana/.activity.FB4ASplashScreenActivity (has extras)} from pid 21228
12-25 11:08:05.447     816-1038/? I/ActivityManager﹕ START u0 {flg=0x4000000 cmp=com.facebook.katana/.activity.FbMainTabActivity bnds=[456,870][948,1305]} from pid 21228
12-25 11:08:05.977      816-879/? D/ConnectivityService﹕ handleInetConditionHoldEnd: net=1, condition=100, published condition=100
12-25 11:08:08.777      816-842/? W/BroadcastQueue﹕ Permission Denial: broadcasting Intent { act=android.net.conn.INET_CONDITION_ACTION flg=0x4000010 (has extras) } from null (pid=-1, uid=-1) requires com.facebook.permission.prod.FB_APP_COMMUNICATION due to registered receiver BroadcastFilter{4395cd58 u0 ReceiverList{43965010 21228 com.facebook.katana/10110/u0 remote:4342c1c0}}
12-25 11:08:08.777      816-842/? W/BroadcastQueue﹕ Permission Denial: broadcasting Intent { act=android.net.conn.CONNECTIVITY_CHANGE flg=0x4000010 (has extras) } from null (pid=-1, uid=-1) requires com.facebook.permission.prod.FB_APP_COMMUNICATION due to registered receiver BroadcastFilter{4395cd58 u0 ReceiverList{43965010 21228 com.facebook.katana/10110/u0 remote:4342c1c0}}
12-25 11:08:08.807      816-827/? A/ProcessStats﹕ Starting service ServiceState{43a44508 com.google.android.tts.service.GoogleTTSService pkg=com.google.android.tts proc=43a44508} without owner
12-25 11:08:10.027      816-842/? W/BroadcastQueue﹕ Permission Denial: broadcasting Intent { act=android.net.conn.CONNECTIVITY_CHANGE flg=0x4000010 (has extras) } from null (pid=-1, uid=-1) requires com.facebook.permission.prod.FB_APP_COMMUNICATION due to registered receiver BroadcastFilter{44bda8d8 u0 ReceiverList{44beb680 21228 com.facebook.katana/10110/u0 remote:44c044c0}}
12-25 11:08:16.277      816-842/? I/ActivityManager﹕ Start proc com.google.android.tts for service com.google.android.tts/.service.GoogleTTSService: pid=21543 uid=10049 gids={50049, 3003, 1028, 1015}
12-25 11:08:26.327     816-1528/? I/ActivityManager﹕ Process com.google.android.googlequicksearchbox:search (pid 20099) has died.
12-25 11:08:26.327     816-1163/? I/WindowState﹕ WIN DEATH: Window{43fbc7d0 u0 com.google.android.googlequicksearchbox/com.google.android.velvet.ui.VelvetActivity}
12-25 11:08:26.327     816-1528/? A/ActivityManager﹕ Service ServiceRecord{455eb538 u0 com.google.android.googlequicksearchbox/com.google.android.search.core.service.SearchService} in process ProcessRecord{42e177f0 20099:com.google.android.googlequicksearchbox:search/u0a23} not same as in map: null
12-25 11:08:30.997      816-842/? I/ActivityManager﹕ Start proc com.google.android.googlequicksearchbox:search for broadcast com.google.android.googlequicksearchbox/com.google.android.velvet.location.VehicleParkReceiver: pid=21672 uid=10023 gids={50023, 3003, 3001, 1028, 3002, 1015}
12-25 11:08:31.107     816-1528/? I/ActivityManager﹕ Start proc com.google.android.partnersetup for content provider com.google.android.partnersetup/.RlzAppProvider: pid=21694 uid=10011 gids={50011, 3003}
12-25 11:08:31.167     816-1164/? I/ActivityManager﹕ Process com.android.chrome:sandboxed_process0 (pid 20783) has died.
12-25 11:08:31.167     816-1164/? W/ActivityManager﹕ Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService0 in 1000ms
12-25 11:08:31.167     816-1164/? A/ProcessStats﹕ Starting service ServiceState{43318458 org.chromium.content.app.SandboxedProcessService0 pkg=com.android.chrome proc=43318458} without owner
12-25 11:08:31.427     816-1038/? W/InputMethodInfo﹕ Duplicated subtype definition found: , voice
12-25 11:08:31.717     816-2231/? I/ActivityManager﹕ Process com.google.android.tts (pid 21543) has died.
12-25 11:08:31.717     816-2231/? W/ActivityManager﹕ Scheduling restart of crashed service com.google.android.tts/.service.GoogleTTSService in 64000ms
12-25 11:08:31.717     816-2231/? A/ProcessStats﹕ Starting service ServiceState{43a44508 com.google.android.tts.service.GoogleTTSService pkg=com.google.android.tts proc=43a44508} without owner
12-25 11:08:31.787     816-1569/? I/WindowState﹕ WIN DEATH: Window{43fd6108 u0 com.android.chrome/com.google.android.apps.chrome.ChromeTabbedActivity}
12-25 11:08:31.787     816-1186/? I/ActivityManager﹕ Process com.android.chrome (pid 20752) has died.
12-25 11:08:31.787     816-1569/? W/WindowManager﹕ Force-removing child win Window{43fe7e08 u0 SurfaceView} from container Window{43fd6108 u0 com.android.chrome/com.google.android.apps.chrome.ChromeTabbedActivity}
12-25 11:08:31.797     816-1163/? W/WindowManager﹕ Failed looking up window
    java.lang.IllegalArgumentException: Requested window android.os.BinderProxy@43a918d0 does not exist
            at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7939)
            at com.android.server.wm.WindowManagerService.windowForClientLocked(WindowManagerService.java:7930)
            at com.android.server.wm.WindowState$DeathRecipient.binderDied(WindowState.java:1047)
            at android.os.BinderProxy.sendDeathNotice(Binder.java:493)
            at dalvik.system.NativeStart.run(Native Method)
12-25 11:08:31.797     816-1163/? I/WindowState﹕ WIN DEATH: null
12-25 11:08:31.797     816-1186/? I/ActivityManager﹕ Killing 20847:com.android.chrome:sandboxed_process1/u0a32i141 (adj 0): isolated not needed
12-25 11:08:50.317      816-842/? I/ActivityManager﹕ Start proc com.android.chrome for broadcast com.android.chrome/com.google.ipc.invalidation.ticl.android2.AndroidInternalScheduler$AlarmReceiver: pid=21810 uid=10032 gids={50032, 3003, 1028, 1015}
12-25 11:09:35.757      816-842/? I/ActivityManager﹕ Start proc com.google.android.tts for service com.google.android.tts/.service.GoogleTTSService: pid=21944 uid=10049 gids={50049, 3003, 1028, 1015}
12-25 11:09:49.257      816-861/? I/ActivityManager﹕ Start proc com.amazon.mShop.android for service com.amazon.mShop.android/com.amazon.avod.syncservice.MShopSyncServiceProxy: pid=22038 uid=10143 gids={50143, 3003, 1028, 1015}
12-25 11:09:49.557  22038-22077/? E/ActivityThread﹕ Failed to find provider info for com.amazon.dcp.settings
12-25 11:10:05.197     816-1569/? I/ActivityManager﹕ Delay finish: com.amazon.mShop.android/com.amazon.mas.client.pdiservice.PdiBroadcastReceiver
12-25 11:10:05.307     816-1038/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:10:05.367     816-1038/? I/ActivityManager﹕ Delay finish: com.amazon.mShop.android/com.amazon.venezia.StartupReceiver
12-25 11:10:05.387     816-1145/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:10:05.387      816-826/? I/ActivityManager﹕ Delay finish: com.amazon.mShop.android/com.amazon.mas.client.locker.LockerBroadcastReceiver
12-25 11:10:05.427      816-826/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:10:05.427     816-1163/? I/ActivityManager﹕ Delay finish: com.amazon.mShop.android/com.amazon.mas.client.pfmcor.PfmCorScheduleServiceReceiver
12-25 11:10:05.447     816-2231/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:10:05.457     816-1164/? I/ActivityManager﹕ Delay finish: com.amazon.mShop.android/com.amazon.mas.client.featureconfig.FeatureConfigScheduleReceiver
12-25 11:10:05.457     816-2231/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:10:05.457     816-1186/? I/ActivityManager﹕ Delay finish: com.amazon.mShop.android/com.amazon.mas.client.tokenrefresh.RefreshScheduleReceiver
12-25 11:10:05.467     816-1569/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:10:12.947      816-879/? D/MobileDataStateTracker﹕ default: setPolicyDataEnable(enabled=true)
12-25 11:10:20.237      816-842/? I/ActivityManager﹕ Waited long enough for: ServiceRecord{4524ba48 u0 com.amazon.mShop.android/com.amazon.sdk.availability.AvailabilityService}
12-25 11:11:01.877      816-866/? I/PowerManagerService﹕ Going to sleep by user request...
12-25 11:11:02.707      816-816/? W/ProcessCpuTracker﹕ Skipping unknown process pid 22383
12-25 11:13:39.462      816-827/? I/ActivityManager﹕ Start proc com.google.android.apps.fitness for broadcast com.google.android.apps.fitness/.api.services.ActivitySummaryAlarmReceiver: pid=22712 uid=10241 gids={50241, 3003, 1028, 1015, 3002, 3001}
12-25 11:13:42.072      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 22727
12-25 11:14:43.742      816-861/? I/ActivityManager﹕ Start proc com.fidelity.android for service com.fidelity.android/.util.pebble.WatchListRefreshService: pid=22812 uid=10121 gids={50121, 3003, 1028, 1015}
12-25 11:14:43.792      816-861/? I/ActivityManager﹕ Start proc com.twitter.android for service com.twitter.android/com.twitter.library.platform.TwitterDataSyncService: pid=22823 uid=10148 gids={50148, 3003, 1028, 1015}
12-25 11:14:43.892      816-879/? D/MobileDataStateTracker﹕ default: setPolicyDataEnable(enabled=true)
12-25 11:14:44.012  22812-22812/? E/ActivityThread﹕ Failed to find provider info for com.getpebble.android.provider
12-25 11:14:44.012  22812-22812/? E/ActivityThread﹕ Failed to find provider info for com.getpebble.android.provider
12-25 11:15:01.082      816-842/? I/ActivityManager﹕ Start proc com.google.android.deskclock for broadcast com.google.android.deskclock/com.android.alarmclock.DigitalAppWidgetProvider: pid=22941 uid=10035 gids={50035, 1028}
12-25 11:15:08.822     816-1163/? I/ActivityManager﹕ Start proc com.android.providers.calendar for content provider com.android.providers.calendar/.CalendarProvider2: pid=23013 uid=10001 gids={50001, 3003, 1028, 1015}
12-25 11:15:08.822     816-1541/? W/ActivityManager﹕ Permission Denial: Accessing service ComponentInfo{com.google.android.music/com.google.android.music.dial.DialMediaRouteProviderService} from pid=21672, uid=10023 that is not exported from uid 10061
12-25 11:15:08.852     816-1145/? I/ActivityManager﹕ Start proc com.google.android.youtube for service com.google.android.youtube/.app.remote.YouTubeTvRouteProviderService: pid=23026 uid=10073 gids={50073, 3003, 1028, 1015}
12-25 11:15:09.442     816-1541/? W/IntentResolver﹕ resolveIntent: multiple matches, only some with CATEGORY_DEFAULT
12-25 11:15:10.002      816-842/? I/ActivityManager﹕ Start proc com.google.android.calendar for broadcast com.google.android.calendar/com.android.calendar.alerts.AlertReceiver: pid=23124 uid=10029 gids={50029, 3003, 1028, 1015}
12-25 11:15:10.302      816-826/? I/ActivityManager﹕ Start proc com.teslamotors.tesla for broadcast com.teslamotors.tesla/.CalendarReceiver: pid=23151 uid=10252 gids={50252, 3003, 1028, 1015, 3002}
12-25 11:15:12.572     816-1528/? I/ActivityManager﹕ Delay finish: com.google.android.googlequicksearchbox/com.google.android.sidekick.main.calendar.CalendarIntentService$CalendarReceiver
12-25 11:15:12.652     816-1569/? I/ActivityManager﹕ Resuming delayed broadcast
12-25 11:15:15.902      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23237
12-25 11:15:15.902      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23238
12-25 11:15:15.902      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23240
12-25 11:16:06.732      816-879/? D/ConnectivityService﹕ Sampling interval elapsed, updating statistics ..
12-25 11:16:06.742      816-879/? D/ConnectivityService﹕ Done.
12-25 11:16:06.742      816-879/? D/ConnectivityService﹕ Setting timer for 720seconds
12-25 11:16:07.262      816-879/? D/ConnectivityService﹕ handleInetConditionHoldEnd: net=1, condition=100, published condition=100
12-25 11:16:48.772     816-1528/? I/ActivityManager﹕ Start proc com.metago.astro for broadcast com.metago.astro/com.kii.cloud.collector.Receiver: pid=23328 uid=10161 gids={50161, 3003, 1028, 1015}
12-25 11:18:56.292      816-879/? D/ConnectivityService﹕ handleInetConditionHoldEnd: net=1, condition=100, published condition=100
12-25 11:21:31.742      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23621
12-25 11:21:31.752      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23622
12-25 11:21:31.752      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23624
12-25 11:21:31.752      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23625
12-25 11:21:31.752      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23626
12-25 11:21:31.752      816-842/? W/ProcessCpuTracker﹕ Skipping unknown process pid 23628
12-25 11:25:45.992     816-1569/? I/PackageManager﹕ Adding preferred activity ComponentInfo{com.google.android.talk/com.google.android.apps.hangouts.phone.BabelHomeActivity} for user 0 :
12-25 11:25:46.022      816-826/? I/PackageManager﹕ Adding preferred activity ComponentInfo{com.google.android.talk/com.google.android.apps.hangouts.phone.BabelHomeActivity} for user 0 :
12-25 11:25:46.042     816-1555/? I/PackageManager﹕ Adding preferred activity ComponentInfo{com.google.android.talk/com.google.android.apps.hangouts.phone.BabelHomeActivity} for user 0 :
12-25 11:25:46.062      816-853/? I/PackageManager﹕ Adding preferred activity ComponentInfo{com.google.android.talk/com.google.android.apps.hangouts.phone.BabelHomeActivity} for user 0 :
12-25 11:25:46.112      816-842/? I/ActivityManager﹕ Start proc com.google.android.talk for broadcast com.google.android.talk/com.google.android.apps.hangouts.sms.MmsWapPushDeliverReceiver: pid=23677 uid=10051 gids={50051, 3003, 1028, 1015, 3002}
12-25 11:25:48.312     816-2231/? D/ConnectivityService﹕ startUsingNetworkFeature reconnecting to 0: enableMMS
12-25 11:25:48.312     816-2231/? D/ConnectivityService﹕ startUsingNetworkFeature X: return APN_REQUEST_STARTED
12-25 11:25:48.322      816-816/? D/MobileDataStateTracker﹕ mms: Broadcast received: android.intent.action.ANY_DATA_STATE apnType=mms
12-25 11:25:48.322      816-816/? D/MobileDataStateTracker﹕ mms: Received state=CONNECTING, old=DISCONNECTED, reason=dataEnabled
